Date,Open,High,Low,Close,Volume,Ticker
2020-10-28,100.93165437903463,101.84992229102397,98.1865333884182,98.26386260986328,1180800,A
2020-10-29,98.85347995681967,99.61708944378884,97.40359020613606,98.61183166503906,1421900,A
2020-10-30,98.37019483997761,98.93082071214404,97.28761508630063,98.67950439453125,2310000,A
2020-11-02,100.06170956301777,101.83057661920743,99.83939729064492,101.72425079345703,1572300,A
2020-11-03,102.87452850855773,104.49840559954357,102.59421555763805,103.45448303222656,1175000,A
2020-11-04,104.45973997226665,106.13194966345523,103.65746574543856,104.86570739746094,1357300,A
2020-11-05,106.876181621625,108.19074861663836,106.00624649631925,106.65386199951172,1143100,A
2020-11-06,107.05985334794144,109.563325926113,106.64421802179666,108.78038787841797,1036600,A
2020-11-09,112.279479972062,113.57471143934463,108.63541914338246,108.74174499511719,2177900,A
2020-11-10,109.05103902797201,109.13803624633431,105.34898548883598,106.51856231689453,2124800,A
2020-11-11,107.42719211092326,108.05547930883996,105.2040242950711,105.75498962402344,1792800,A
2020-11-12,105.74531670329827,107.30153262706,105.26202001578277,105.78398132324219,1094300,A
2020-11-13,106.7698835294168,107.81380595082732,106.11259986125323,106.48957061767578,1356800,A
2020-11-16,107.29184368783646,107.76547228429533,105.81295729260312,106.58622741699219,1656100,A
2020-11-17,106.80853751188404,107.06951440400205,105.60029613731521,106.1899185180664,1571500,A
2020-11-18,105.89028672656826,106.20925687406694,102.19790104229557,102.4105453491211,2047900,A
2020-11-19,103.17416878429015,105.32000713195886,101.67595356485675,105.04936218261719,1886400,A
2020-11-20,105.01068171830552,108.54841627103805,104.70137219794535,107.18551635742188,2775400,A
2020-11-23,107.67845732514547,108.66437890052987,105.89992244224077,108.46139526367188,3258700,A
2020-11-24,114.98591723531526,114.98591723531526,107.70747218587115,110.8488998413086,5559900,A
2020-11-25,112.21179245975867,113.05273113422238,109.62132996156765,110.52992248535156,2862500,A
2020-11-27,109.9692931048711,111.13887723867033,109.16702644115601,110.27860260009766,983700,A
2020-11-30,110.08529583289658,113.1590624166182,109.87264415501008,112.99474334716797,3778400,A
2020-12-01,113.65202543238317,114.42529553505642,111.19687792299142,111.50618743896484,1753700,A
2020-12-02,111.76717067546743,112.07648020895407,110.31728085452613,110.74258422851562,1735800,A
2020-12-03,110.33662529860524,111.56419552955909,109.37970000836428,109.7856674194336,1511400,A
2020-12-04,109.80497747518923,111.39018960950712,109.65998703160106,111.3031997680664,1118100,A
2020-12-07,111.35152477307041,112.55010555474212,110.30760980530384,110.57825469970703,2076700,A
2020-12-08,110.52025727323894,113.42003672434114,110.51059665139002,113.10106658935547,1320600,A
2020-12-09,112.49210809907281,113.05273389574293,110.65558701439284,112.51144409179688,1717600,A
2020-12-10,113.033410204516,115.89452516718957,112.45344838984205,114.84093475341797,1630500,A
2020-12-11,114.70562036092203,115.08259114225058,113.37172431733802,114.52197265625,1400800,A
2020-12-14,114.64761207444225,116.22315622612113,112.84008026123047,112.84008026123047,1395200,A
2020-12-15,113.38137106357908,114.0966478768396,112.94639975352017,113.4683609008789,1973800,A
2020-12-16,113.65204032735171,113.80669141834635,112.51145995499536,113.32339477539062,1698600,A
2020-12-17,114.1063262665767,115.4015575700467,113.13006510344803,114.99559020996094,2166700,A
2020-12-18,115.2468987144123,115.85584971341264,114.48328927943211,115.31455993652344,3911800,A
2020-12-21,113.7680076942921,114.49295253696903,112.08613772414729,113.8453369140625,2082000,A
2020-12-22,114.05799431757353,114.47362967659296,112.94641069465914,113.44904327392578,1670400,A
2020-12-23,114.05798274651173,114.91824999251958,113.30404132861898,113.3813705444336,1202100,A
2020-12-24,113.13006770051601,114.41563841148705,112.93674463804622,113.39104461669922,733600,A
2020-12-28,114.55095274516576,114.81192964284314,112.77241756916341,113.89366912841797,1003100,A
2020-12-29,114.59928401616897,115.14058120670813,112.92708195974578,113.313720703125,1007400,A
2020-12-30,113.92266082772002,114.92791851435314,113.41036767601236,113.4683609008789,1127000,A
2020-12-31,113.6616960748195,114.6379573165775,112.70477082768235,114.53163146972656,1307200,A
2021-01-04,115.15513388524454,116.26853306465107,113.38336575392,114.86467742919922,2030700,A
2021-01-05,114.70974104157935,116.49118514570408,114.31278448710509,115.80377960205078,2344000,A
2021-01-06,114.9130999686867,119.93794098648085,114.44837107319404,118.97944641113281,2428500,A
2021-01-07,120.3736100475356,123.42337317583132,120.16060963926017,122.14537811279297,1775900,A
2021-01-08,122.46487752709817,123.57828410786526,121.84524397350188,123.01673889160156,1577200,A
2021-01-11,122.4261517303086,125.22418662407313,122.21315869401565,124.07205200195312,1746800,A
2021-01-12,124.24633440573325,124.30442274534366,122.18410971018488,122.92961120605469,1826400,A
2021-01-13,123.40402204793324,123.9752511638143,122.70693239508222,122.93930053710938,1530400,A
2021-01-14,123.22006277868869,124.11079252818435,121.81620704124892,122.01952362060547,924900,A
2021-01-15,121.93238933415438,123.07484013482079,120.77057082909882,122.19379425048828,2115400,A
2021-01-19,123.32656003883618,123.7332005744186,122.27124914461827,123.29751586914062,1677200,A
2021-01-20,123.6460523898985,124.81754727098041,123.30719145514165,124.0333251953125,1843000,A
2021-01-21,123.70411972335482,124.68198172901904,122.39708069027456,122.95862579345703,1612100,A
2021-01-22,123.03610844444022,123.73319804936743,122.28093050130731,122.30997467041016,1438700,A
2021-01-25,122.65851731500085,123.42337909658376,120.47043217949876,121.48702239990234,1365400,A
2021-01-26,121.506385277534,121.94206258882348,119.92825719566049,119.9766616821289,1476600,A
2021-01-27,118.19522396862239,119.0859463473761,114.35155443717791,115.01959991455078,1923500,A
2021-01-28,115.21323047249024,118.76644345461052,115.00023004101882,117.69176483154297,1677900,A
2021-01-29,117.35288404313617,117.81761285026444,115.48429973716101,116.34597778320312,1822000,A
2021-02-01,116.84944860152169,118.20489239587505,116.35567556979886,116.98499298095703,1292700,A
2021-02-02,118.60184442575476,121.84524032660558,118.52438838721987,119.26988983154297,1489200,A
2021-02-03,119.57001679216286,120.63501141582289,118.02093303169246,118.26297760009766,1448400,A
2021-02-04,118.61151628261881,120.38327681859482,117.73047055326273,120.12187194824219,1251200,A
2021-02-05,120.54787938216249,121.95173492968674,119.19242831653774,119.26020050048828,1919700,A
2021-02-08,119.97667586431446,121.73876040825854,118.66963638932893,119.48291015625,2065300,A
2021-02-09,119.48289427393522,119.56034292846776,118.46630404706848,119.31829833984375,1988300,A
2021-02-10,120.62532640682515,121.73873288812305,119.93792072554723,121.09973907470703,1112600,A
2021-02-11,121.70002264492939,123.2103859807579,121.12880093112713,122.91992950439453,1122200,A
2021-02-12,122.89088046276521,124.50774395006118,122.30029106775461,123.907470703125,1278000,A
2021-02-16,125.1951642582087,126.90884440523729,123.7816244805549,123.8784408569336,2132500,A
2021-02-17,128.57406479472496,132.62104248137388,125.466206347919,125.97933959960938,4214700,A
2021-02-18,124.89500715046596,126.24077446604181,123.52019566624834,123.61701202392578,1941400,A
2021-02-19,124.32378206462329,124.7981799882658,122.46487406970007,122.8327865600586,1263900,A
2021-02-22,121.9420487328653,122.14537266741964,119.17305832195778,119.57001495361328,1340100,A
2021-02-23,119.57972480563078,119.57972480563078,116.57837302827107,118.52440643310547,2125400,A
2021-02-24,118.3694969738829,121.41926050709287,118.12745236627282,121.04166412353516,1898400,A
2021-02-25,120.83831580403434,121.26431656526529,118.04996531584614,118.21455383300781,1430900,A
2021-02-26,119.01818864269728,119.57973397069051,116.81074274547272,118.18555450439453,1909700,A
2021-03-01,119.13436434804771,121.16753766898664,118.9697683934082,120.51885986328125,1404400,A
2021-03-02,120.60596484886514,121.88395984914206,119.25051381545293,119.70555877685547,1267300,A
2021-03-03,118.87294166163544,118.87294166163544,115.45527312336405,115.5036849975586,1612400,A
2021-03-04,114.91309798844907,115.04864237508717,109.73333757926386,111.3308334350586,2725000,A
2021-03-05,112.19250069534814,112.49264099646392,108.89101647598939,112.44422912597656,2441500,A
2021-03-08,112.60882343317971,115.17449758148344,111.60191704572178,112.38614654541016,2766600,A
2021-03-09,114.11919162790676,117.52717637448667,113.7996909804294,116.02649688720703,2291100,A
2021-03-10,116.75262796610748,118.32107960985577,115.88127332841776,116.17172241210938,1934600,A
2021-03-11,117.55622170891404,119.00848933552047,117.05277218180113,117.95317840576172,1818700,A
2021-03-12,116.7332665648436,118.14680610820889,115.4843155727038,117.5755844116211,1368700,A
2021-03-15,117.07210814904835,120.32518754693548,116.51056301077428,120.09282684326172,1230000,A
2021-03-16,120.78024961890243,121.32242713323453,118.55343645084194,119.0859375,1345500,A
2021-03-17,118.44694341064061,119.19244492458733,117.63367708991521,118.6212158203125,1453000,A
2021-03-18,119.66682691749344,119.9960113544406,118.24360374744448,118.68896484375,2067500,A
2021-03-19,118.96008478850196,119.57003453219731,117.64336155009268,118.78581237792969,2597000,A
2021-03-22,118.28234217335192,119.88952171099186,117.84666488918481,119.67652130126953,1772900,A
2021-03-23,119.23117088058714,120.27680532049227,117.60463088071748,118.09840393066406,1338300,A
2021-03-24,118.23392611268793,119.04719226659708,116.89783545038921,116.9946517944336,1477500,A
2021-03-25,117.01403631464545,118.4372596751722,116.06521827875608,118.02094268798828,967300,A
2021-03-26,118.6406004849095,121.70972471773037,118.14682735581772,121.64195251464844,1441900,A
2021-03-29,120.90611497170362,121.81620502418586,119.80239219540661,121.4289321899414,1539700,A
2021-03-30,120.64470135719318,121.70001218313925,120.4510686473397,120.86737823486328,1033700,A
2021-03-31,121.94204281044051,124.39153250421289,121.94204281044051,123.09417724609375,1815500,A
2021-04-01,123.92681899723384,124.21727543390422,122.96832457480403,123.6266860961914,1126400,A
2021-04-05,125.08505119910606,126.64619080202404,125.08505119910606,126.05470275878906,1096300,A
2021-04-06,126.60742582507228,127.85826997095147,125.92865781858605,127.06314849853516,1623200,A
2021-04-07,126.29710502398062,126.60740059891573,124.62930329797281,125.41471862792969,954600,A
2021-04-08,126.30679705068924,127.7321859166305,125.92863356354405,126.7237548828125,925100,A
2021-04-09,127.4703904437208,127.91642184022915,126.76253420834122,127.90673065185547,1552200,A
2021-04-12,127.45101759692605,128.16855036192217,126.86922067789811,127.28617858886719,1166300,A
